epoch,train_loss,val_levenshtein,best_val
1,2.279407,0.941667,0.941667
2,0.355142,0.387000,0.387000
3,0.241459,0.291000,0.291000
4,0.204962,0.293000,0.291000
5,0.186139,0.241333,0.241333
6,0.169267,0.239333,0.239333
7,0.159133,0.221333,0.221333
8,0.149627,0.225000,0.221333
9,0.145030,0.220333,0.220333
10,0.139652,0.308667,0.220333
11,0.138402,0.236333,0.220333
12,0.127062,0.219000,0.219000
13,0.123790,0.191333,0.191333
14,0.118535,0.197333,0.191333
15,0.115952,0.202333,0.191333
16,0.116851,0.191667,0.191333
17,0.105100,0.190000,0.190000
18,0.108707,0.340000,0.190000
19,0.109217,0.194667,0.190000
20,0.103293,0.199667,0.190000
